ensmbl	baseMean	log2FoldChange	lfcSE	pvalue	padj	symbol
ENSMUSG00000104168	43,25485143	-0,011797568	0,090532493	0,565743966	0,872725846	RP23-410B24.2
ENSMUSG00000051768	1076,719558	0,021452703	0,085155733	0,565864807	0,872831395	Xrcc1
ENSMUSG00000048148	1004,252014	0,017951595	0,087934999	0,565926778	0,872846127	Nwd1
ENSMUSG00000060988	492,895316	-0,019796782	0,086505654	0,566124408	0,873070068	Galnt13
ENSMUSG00000035189	239,6578596	-0,017206659	0,088349999	0,566481433	0,873539761	Ano4
ENSMUSG00000025869	1343,140162	0,025615872	0,078414403	0,566692566	0,873749934	Nop16
ENSMUSG00000028756	4827,358975	0,025215231	0,080110754	0,566722676	0,873749934	Pink1
ENSMUSG00000097494	38,14426021	0,013519524	0,090007079	0,566811712	0,873806298	RP24-83B1.2
ENSMUSG00000044562	511,0758578	-0,019813736	0,086207461	0,566927904	0,873904511	Rasip1
ENSMUSG00000005698	1932,148986	-0,027168927	0,074998974	0,567073898	0,873971669	Ctcf
ENSMUSG00000037971	975,5942904	-0,026157409	0,077632669	0,567076447	0,873971669	RP23-446P16.2
ENSMUSG00000029110	5425,73506	0,023782025	0,083103177	0,567132373	0,873976968	Rnf4
ENSMUSG00000052812	943,2274366	-0,025146725	0,078559674	0,567695667	0,87476407	Atad2b
ENSMUSG00000109930	23,48973248	0,011727724	0,090558497	0,567880944	0,874968594	RP24-198O18.1
ENSMUSG00000042389	678,4808283	0,02253586	0,083652426	0,567940673	0,874979658	Tsen2
ENSMUSG00000029263	669,7622688	-0,025655129	0,076725564	0,568031742	0,874986853	Pigg
ENSMUSG00000097392	282,048259	-0,016289823	0,088770435	0,56805044	0,874986853	RP23-314A12.2
ENSMUSG00000039159	7284,847519	0,0265149	0,075031954	0,568228828	0,875099724	Ube2h
ENSMUSG00000049690	512,9087809	-0,02031754	0,085970998	0,568195014	0,875099724	Nckap5
ENSMUSG00000001248	6061,812679	-0,02890267	0,077512101	0,568543084	0,875190926	Gramd1a
ENSMUSG00000020142	9836,436153	-0,024226352	0,071284207	0,568697966	0,875190926	Slc1a4
ENSMUSG00000028057	1986,270458	-0,024487691	0,079665442	0,568742673	0,875190926	Rit1
ENSMUSG00000031352	612,9321528	0,022613104	0,083454868	0,568761096	0,875190926	Hccs
ENSMUSG00000032594	10008,75919	-0,026454042	0,073833245	0,568686447	0,875190926	Ip6k1
ENSMUSG00000047496	1128,719363	-0,013714121	0,089865811	0,568450185	0,875190926	Rnf152
ENSMUSG00000061032	11232,61517	0,026649236	0,066110585	0,568758561	0,875190926	Rrp1
ENSMUSG00000075296	198,3980482	-0,009513116	0,091035618	0,56871691	0,875190926	Aldh3b2
ENSMUSG00000104938	10,71894415	-0,007895792	0,091332675	0,568530607	0,875190926	RP24-293C5.5
ENSMUSG00000020621	1058,513908	-0,026593007	0,070094994	0,56893811	0,875301531	Rdh14
ENSMUSG00000027001	826,370882	-0,019402581	0,086736624	0,568908557	0,875301531	Dusp19
ENSMUSG00000032652	443,7228705	-0,022595689	0,086457512	0,569016412	0,87534112	Crebl2
ENSMUSG00000042569	1193,221993	0,026008704	0,075237843	0,569377856	0,875807358	Dhrs7b
ENSMUSG00000114133	23,247881	0,010020578	0,090971485	0,569424686	0,875807358	RP24-202N2.3
ENSMUSG00000027951	9233,716741	0,024012408	0,079852892	0,569617173	0,875860702	Adar
ENSMUSG00000029427	891,1434676	-0,026795766	0,070443752	0,569601011	0,875860702	Zcchc8
ENSMUSG00000067367	351,0429346	0,023624962	0,081877755	0,569591785	0,875860702	Lyar
ENSMUSG00000000223	2089,36772	-0,02020302	0,085927758	0,570060288	0,875946673	Drp2
ENSMUSG00000027957	648,903664	-0,022537079	0,08286811	0,570251753	0,875946673	Slc35a3
ENSMUSG00000029155	26,04436378	-0,007191636	0,091427489	0,569787555	0,875946673	Spata18
ENSMUSG00000030733	4560,870565	0,022824464	0,069227707	0,57012652	0,875946673	Sh2b1
ENSMUSG00000034151	75,74297097	0,013334346	0,090036304	0,569967877	0,875946673	Zbbx
ENSMUSG00000035958	661,521647	-0,025791834	0,075676034	0,569848065	0,875946673	Tdp2
ENSMUSG00000042198	448,5762278	0,017317776	0,087966535	0,569932694	0,875946673	Chchd7
ENSMUSG00000042790	2875,668838	-0,026425857	0,065172875	0,570021001	0,875946673	Rnf214
ENSMUSG00000057093	573,977735	-0,022121808	0,083949883	0,570233191	0,875946673	AC074312.5
ENSMUSG00000087120	23,47702758	-0,008491084	0,091222123	0,570166844	0,875946673	RP23-234K24.5
ENSMUSG00000087352	26,32299688	-0,01012586	0,090902153	0,570216111	0,875946673	RP23-63D8.6
ENSMUSG00000000295	560,224449	-0,019136351	0,086686388	0,570943513	0,875981605	Hddc2
ENSMUSG00000002804	241,5711302	-0,023235169	0,082382018	0,571714209	0,875981605	Nudt14
ENSMUSG00000003199	3137,776946	0,026265199	0,072548662	0,571012177	0,875981605	Mpnd
ENSMUSG00000014245	324,2183053	0,022376875	0,083572838	0,571286165	0,875981605	Pigl
ENSMUSG00000018770	9332,455347	-0,016174041	0,064638769	0,571184504	0,875981605	Atp5g3
ENSMUSG00000021079	1148,938064	-0,02591292	0,072589595	0,570932179	0,875981605	Timm9
ENSMUSG00000021391	60,62661677	0,008580252	0,091227088	0,571569558	0,875981605	Cenpp
ENSMUSG00000021880	13,96100832	0,008177941	0,091287358	0,571260255	0,875981605	Rnase6
ENSMUSG00000028076	52,56888914	0,010866876	0,090759962	0,570982092	0,875981605	Cd1d1
ENSMUSG00000028345	1003,830119	0,020935573	0,085279218	0,570618428	0,875981605	Tex10
ENSMUSG00000028753	281,1914474	-0,013514277	0,089887569	0,571020476	0,875981605	Vwa5b1
ENSMUSG00000031139	407,2150915	0,021438727	0,084528876	0,570885171	0,875981605	Mcf2
ENSMUSG00000034525	6277,814743	0,017244686	0,084088241	0,571547826	0,875981605	Ice1
ENSMUSG00000036568	1866,362824	-0,025955863	0,069698323	0,571489625	0,875981605	Bicral
ENSMUSG00000038168	164,1090473	0,012192708	0,090389889	0,571800136	0,875981605	P3h2
ENSMUSG00000041703	86,12954184	-0,012318177	0,090285016	0,571746575	0,875981605	Zic5
ENSMUSG00000052752	2889,943139	0,026640948	0,071892585	0,570536075	0,875981605	Traf7
ENSMUSG00000055493	1336,593754	-0,021747672	0,08326588	0,571460564	0,875981605	Epm2a
ENSMUSG00000061613	1402,360152	0,022094162	0,084013742	0,570606868	0,875981605	U2af1
ENSMUSG00000062296	6069,122613	0,023502167	0,081911636	0,570694643	0,875981605	Trank1
ENSMUSG00000064280	41,45202122	0,01008564	0,090922042	0,571056026	0,875981605	Ccdc146
ENSMUSG00000078670	3933,743984	0,02645552	0,071256308	0,571047867	0,875981605	Fam174b
ENSMUSG00000079941	155,9910567	-0,01740828	0,087984842	0,571555657	0,875981605	RP23-298F22.4
ENSMUSG00000080717	200,3562261	-0,021339213	0,084677491	0,571778344	0,875981605	RP23-49H16.1
ENSMUSG00000087380	218,1755442	0,017462312	0,0881228	0,570701175	0,875981605	RP23-402K12.2
ENSMUSG00000091449	20,59702109	-0,010304255	0,09084124	0,571415954	0,875981605	Gm10269
ENSMUSG00000099998	13,14843336	-0,008574556	0,091203782	0,571688594	0,875981605	RP24-512H17.5
ENSMUSG00000107176	191,2751091	-0,021591905	0,084419136	0,571129299	0,875981605	RP23-263B18.4
ENSMUSG00000113621	52,43798786	-0,014370695	0,089563095	0,571570072	0,875981605	RP23-442I5.6
ENSMUSG00000037363	311,9215187	-0,023772304	0,080837058	0,571956058	0,876139864	Letm2
ENSMUSG00000028959	2610,003667	0,024206375	0,08065175	0,572050124	0,87620335	Fastk
ENSMUSG00000030104	1187,381283	0,018950765	0,086710511	0,572381459	0,876295301	Edem1
ENSMUSG00000036499	1468,918873	0,017844471	0,087907365	0,57242592	0,876295301	Eea1
ENSMUSG00000044211	13,9132419	0,008965667	0,091140322	0,572400451	0,876295301	RP24-124B23.7
ENSMUSG00000052656	2558,994774	0,02886686	0,074565437	0,572285317	0,876295301	Rnf103
ENSMUSG00000108880	20,98569756	-0,010609445	0,090754893	0,572396256	0,876295301	RP24-439I22.4
ENSMUSG00000113959	12,91773662	-0,007533008	0,091361448	0,572240172	0,876295301	RP23-344H4.4
ENSMUSG00000110945	23,32556484	0,009651846	0,091003438	0,572552685	0,876408784	RP23-453B15.7
ENSMUSG00000022323	529,558125	0,018280354	0,087449284	0,572890258	0,876446853	Hrsp12
ENSMUSG00000029135	5503,204419	0,006352188	0,091569404	0,572714244	0,876446853	Fosl2
ENSMUSG00000029722	2722,67368	0,023884232	0,080795694	0,57276801	0,876446853	Agfg2
ENSMUSG00000033751	759,5384046	0,021809965	0,084202444	0,572883735	0,876446853	Gadd45gip1
ENSMUSG00000047205	2064,865583	-0,012302816	0,082934943	0,572893373	0,876446853	Dusp18
ENSMUSG00000086328	11,56053141	0,007685327	0,091368382	0,572870282	0,876446853	RP23-162G11.1
ENSMUSG00000001313	8431,205444	-0,013634443	0,089760818	0,573185379	0,8766584	Rnd2
ENSMUSG00000004947	476,6528975	0,02046515	0,085625734	0,573182584	0,8766584	Dtx2
ENSMUSG00000019027	126,7678215	-0,017654396	0,08777477	0,57323166	0,8766584	Dnah1
ENSMUSG00000020712	17,51808094	0,007459014	0,091388655	0,573319935	0,8766584	Tcam1
ENSMUSG00000023036	1783,632233	-0,017498317	0,087544377	0,573269972	0,8766584	Pcdhgc4
ENSMUSG00000040797	7045,624669	0,01723347	0,088230474	0,573370404	0,8766584	Iqsec3
ENSMUSG00000073609	450,424506	-0,024684937	0,078705632	0,573400194	0,8766584	D2hgdh
ENSMUSG00000022214	3217,980486	0,024379448	0,079470854	0,573704406	0,876753	Dcaf11
ENSMUSG00000031897	678,021041	0,022150935	0,08382932	0,573725343	0,876753	Psmb10
ENSMUSG00000060487	508,9502331	0,016083945	0,088627517	0,573562218	0,876753	Samd5
ENSMUSG00000091086	36,41426301	-0,012276298	0,090269699	0,57372197	0,876753	RP24-351I17.2
ENSMUSG00000097343	209,636905	0,022917717	0,082398822	0,573588357	0,876753	RP23-17C12.6
ENSMUSG00000034453	814,0087863	0,016537193	0,087150802	0,573843058	0,876852414	Polr3b
ENSMUSG00000036104	2363,910012	0,026099594	0,0728079	0,574035302	0,877065684	Rab3gap1
ENSMUSG00000039954	21,07793273	0,0077829	0,091342083	0,574122619	0,87711861	Stk32a
ENSMUSG00000021371	1017,104885	-0,018717456	0,086953389	0,574307135	0,877320009	Mcur1
ENSMUSG00000046330	6206,316351	0,025265518	0,075068105	0,574421961	0,877334648	Rpl37a
ENSMUSG00000071665	31,77331044	-0,010063645	0,090859818	0,574422096	0,877334648	Foxr2
ENSMUSG00000006014	16,08848556	-0,008037955	0,091260319	0,574981926	0,877396913	Prg4
ENSMUSG00000014195	6143,91024	-0,026499853	0,071485721	0,574708546	0,877396913	Dnajc7
ENSMUSG00000021061	2941,401291	-0,01669664	0,088200687	0,575289421	0,877396913	Sptb
ENSMUSG00000028107	1112,802625	-0,025516456	0,075308664	0,574861775	0,877396913	Tars2
ENSMUSG00000030047	47,67100773	0,006851097	0,091477162	0,575126964	0,877396913	Arhgap25
ENSMUSG00000030554	2660,003167	-0,015382458	0,089011137	0,575070996	0,877396913	Synm
ENSMUSG00000030871	348,0537181	-0,021406986	0,084219941	0,574699553	0,877396913	Ears2
ENSMUSG00000037355	531,6228674	-0,025329762	0,076029493	0,575061211	0,877396913	Uvssa
ENSMUSG00000046523	1047,993486	-0,005049076	0,091665216	0,575034034	0,877396913	Kctd4
ENSMUSG00000048186	88,41032859	0,017396553	0,08800796	0,575246449	0,877396913	Bend7
ENSMUSG00000048379	500,0955541	-0,021322752	0,0843867	0,574783341	0,877396913	Socs4
ENSMUSG00000058318	1973,388346	-0,024867653	0,078169997	0,575252001	0,877396913	Phf21a
ENSMUSG00000079562	4750,531668	0,020058259	0,077994934	0,57472802	0,877396913	Maea
ENSMUSG00000084950	65,43516726	-0,012919667	0,090031717	0,575305958	0,877396913	RP23-226O20.3
ENSMUSG00000087260	1468,067938	0,026014221	0,07248551	0,574926827	0,877396913	Lamtor5
ENSMUSG00000111128	463,1707311	0,021215966	0,084534122	0,575241826	0,877396913	RP23-3F1.8
ENSMUSG00000032977	1876,34518	0,023953167	0,080358435	0,575536585	0,877668256	Fam207a
ENSMUSG00000025736	1511,60721	0,023796114	0,080492091	0,575707951	0,877819022	Jmjd8
ENSMUSG00000038861	2235,391176	0,025095784	0,070007221	0,575846326	0,877819022	Pi4kb
ENSMUSG00000041187	105,3032359	0,016084654	0,088726865	0,575746805	0,877819022	Prkd2
ENSMUSG00000085397	20,38628459	-0,010431924	0,090756096	0,575798276	0,877819022	RP23-320N1.1
ENSMUSG00000037692	4243,399002	-0,018296247	0,087080934	0,5759147	0,877842885	Ahdc1
ENSMUSG00000022108	15484,06034	0,031155756	0,08739166	0,57601414	0,877893761	Itm2b
ENSMUSG00000037257	4583,5247	-0,022815552	0,083392924	0,576053524	0,877893761	Aagab
ENSMUSG00000022009	577,0860573	0,018138472	0,087466407	0,576172355	0,877914155	Nufip1
ENSMUSG00000026688	5292,678457	-0,022877369	0,082554291	0,576155805	0,877914155	Mgst3
ENSMUSG00000082480	15,97310985	-0,008182218	0,091233147	0,576301029	0,878029868	RP23-17O9.2
ENSMUSG00000039396	19,65601055	0,006784983	0,091476244	0,576469977	0,878126575	Neil3
ENSMUSG00000045482	5706,168628	-0,027695459	0,076865557	0,576434567	0,878126575	Trrap
ENSMUSG00000049232	662,9032762	0,017975107	0,087529654	0,576600697	0,878245354	Tigd2
ENSMUSG00000020776	2775,127824	-0,025003452	0,071971273	0,576734898	0,878355685	Fbf1
ENSMUSG00000030556	1215,28177	0,018887257	0,087015973	0,576778635	0,878355685	Lrrc28
ENSMUSG00000087174	340,819378	-0,017736238	0,087570701	0,577004321	0,878538676	RP23-250A14.2
ENSMUSG00000109013	12,15695515	-0,007382299	0,09136399	0,576951713	0,878538676	RP23-184F6.1
ENSMUSG00000038233	58,14610271	-0,012433643	0,090168523	0,577164039	0,878701511	Fam198a
ENSMUSG00000030801	794,6774092	0,02308599	0,08168538	0,577379246	0,878859691	Kat8
ENSMUSG00000032562	5077,385655	0,022182498	0,083767426	0,577384599	0,878859691	Gnai2
ENSMUSG00000034292	674,5942256	0,024600442	0,079577079	0,577426282	0,878859691	Traf3ip1
ENSMUSG00000020537	2726,930985	0,021338663	0,083591476	0,57761088	0,879060302	Drg2
ENSMUSG00000060143	2453,765259	0,0247131	0,077102647	0,577729794	0,879160922	RP23-4P23.3
ENSMUSG00000040652	7549,238459	-0,026695216	0,069104804	0,577803443	0,879192647	Oaz2
ENSMUSG00000028845	19,54375125	0,006994588	0,091438358	0,577859577	0,879197718	Tekt2
ENSMUSG00000034437	27,30693043	-0,011261183	0,090508667	0,577936559	0,879227267	RP23-453M11.1
ENSMUSG00000044072	3853,266787	-0,019882154	0,085735291	0,577984605	0,879227267	Eml6
ENSMUSG00000025134	1010,160726	0,020410617	0,085352796	0,578428856	0,879340717	Alyref
ENSMUSG00000026342	2716,742248	0,01829844	0,086663101	0,578230237	0,879340717	Slc35f5
ENSMUSG00000033319	2061,669731	0,021263028	0,084496993	0,578412917	0,879340717	Fem1c
ENSMUSG00000036023	638,4424895	-0,024139051	0,078889655	0,578132942	0,879340717	Parp2
ENSMUSG00000038550	178,9339942	0,013163664	0,089947362	0,578366416	0,879340717	Ciart
ENSMUSG00000043644	137,9324033	0,019552451	0,086489408	0,578270664	0,879340717	RP23-82I5.2
ENSMUSG00000053453	1704,914225	-0,025569404	0,07302372	0,578358412	0,879340717	Thoc7
ENSMUSG00000115190	21,17234535	-0,006451927	0,091489871	0,578633518	0,879571545	RP24-248C17.4
ENSMUSG00000000420	1813,477332	0,023353634	0,076389517	0,578686883	0,879572368	Galnt1
ENSMUSG00000009900	10,94374061	0,006818893	0,091450749	0,579650313	0,879582635	Wnt3a
ENSMUSG00000021569	98,42550066	0,017841665	0,087502356	0,579506629	0,879582635	Trip13
ENSMUSG00000022913	552,1526464	0,023848512	0,080056204	0,579642292	0,879582635	Psmg1
ENSMUSG00000026516	1559,700137	-0,025507193	0,072636652	0,579785951	0,879582635	Nvl
ENSMUSG00000026626	2256,699169	0,025699951	0,073094847	0,579019377	0,879582635	Ppp2r5a
ENSMUSG00000029716	64,94883225	0,012873919	0,090037871	0,579554548	0,879582635	Tfr2
ENSMUSG00000032481	4021,286275	-0,025385699	0,069894842	0,57884808	0,879582635	Smarcc1
ENSMUSG00000033396	1263,104204	0,024661716	0,076315321	0,579787827	0,879582635	Spg11
ENSMUSG00000033721	211,0128603	-0,017107616	0,088510759	0,579802955	0,879582635	Vav3
ENSMUSG00000036513	660,629286	0,024115788	0,079231712	0,579704842	0,879582635	Commd2
ENSMUSG00000036561	3442,48783	-0,02550908	0,065928226	0,579688067	0,879582635	Ppp6r2
ENSMUSG00000037279	10,46176919	0,004209289	0,09174672	0,579533513	0,879582635	Ovol2
ENSMUSG00000037486	853,7142426	0,021725661	0,083551801	0,578754638	0,879582635	Asxl2
ENSMUSG00000049804	7290,927982	0,02555744	0,07056463	0,579126435	0,879582635	Armcx4
ENSMUSG00000056553	9400,53712	0,026201935	0,0690575	0,579719853	0,879582635	Ptprn2
ENSMUSG00000080816	14,0168502	0,008163801	0,091238635	0,578952097	0,879582635	RP23-423O7.5
ENSMUSG00000085586	281,9604555	-0,020738615	0,084666461	0,579784487	0,879582635	RP23-94N18.4
ENSMUSG00000085628	10,70430482	-0,005876506	0,091561339	0,579453531	0,879582635	Appbp2os
ENSMUSG00000097468	16,739693	0,008243804	0,091229933	0,579365346	0,879582635	Mdrl
ENSMUSG00000110834	186,1886026	-0,02178633	0,083311897	0,579553132	0,879582635	CAAA01180111.2
ENSMUSG00000113052	14,4864288	0,007609967	0,091339603	0,579100032	0,879582635	RP23-46D6.4
ENSMUSG00000028671	637,8602902	0,023589319	0,080997907	0,580107284	0,879793739	Gale
ENSMUSG00000031684	222,3120016	0,019032775	0,086413593	0,580206297	0,879793739	Slc10a7
ENSMUSG00000034868	8401,875342	-0,020711582	0,083057533	0,580155199	0,879793739	Myl12b
ENSMUSG00000066551	5378,697073	-0,025690454	0,0788394	0,580014674	0,879793739	Hmgb1
ENSMUSG00000068882	4639,821377	-0,022562857	0,071032585	0,580098036	0,879793739	Ssb
ENSMUSG00000049800	930,7903641	0,023562732	0,079337572	0,580325818	0,879894845	Sertad2
ENSMUSG00000033004	15492,54139	-0,026214451	0,07591656	0,580444272	0,879911955	Mycbp2
ENSMUSG00000043671	2133,674369	-0,024871154	0,076466601	0,580429406	0,879911955	Dpy19l3
ENSMUSG00000048833	3591,025106	0,024567267	0,070742824	0,580495635	0,879911955	Slc39a9
ENSMUSG00000020743	168,526446	-0,015513038	0,088629692	0,580624751	0,880027557	Mif4gd
ENSMUSG00000018565	3524,650731	0,025322324	0,075974237	0,58074741	0,880133351	Elp5
ENSMUSG00000020329	1133,159605	-0,023151205	0,080008737	0,580928903	0,880258941	Polrmt
ENSMUSG00000047193	1375,022559	-0,023512565	0,080035792	0,580988875	0,880258941	Dync2h1
ENSMUSG00000110790	122,7118445	0,018969119	0,086550261	0,580961013	0,880258941	RP23-110E20.5
ENSMUSG00000097061	608,5464897	-0,022391192	0,082304048	0,581054377	0,880278085	RP23-17K9.18
ENSMUSG00000059518	1583,776083	0,023116311	0,080906534	0,581220991	0,880450393	Znhit1
ENSMUSG00000025577	182,8285624	-0,014013853	0,089465267	0,581442204	0,880543759	Cbx2
ENSMUSG00000026869	3098,196139	-0,023759507	0,08053084	0,581371423	0,880543759	Psmd5
ENSMUSG00000042605	3546,811141	-0,024695419	0,076602121	0,581441762	0,880543759	Atxn2
ENSMUSG00000059839	661,2732312	-0,018267955	0,086987301	0,581494155	0,880543759	Zfp874b
ENSMUSG00000004264	3296,354149	0,025460771	0,076321466	0,581680262	0,880692632	Phb2
ENSMUSG00000022144	14,0081713	0,007912161	0,091265279	0,581928759	0,880692632	Gdnf
ENSMUSG00000028040	138,2929717	-0,010381911	0,090672519	0,582114162	0,880692632	Efna4
ENSMUSG00000029190	5196,202596	0,025632328	0,066837159	0,582046027	0,880692632	AC167815.1
ENSMUSG00000032417	839,5973282	-0,018179188	0,087524734	0,582047345	0,880692632	Rwdd2a
ENSMUSG00000039568	3574,21849	0,019012602	0,086934969	0,581830294	0,880692632	Ubald1
ENSMUSG00000041702	881,4243395	-0,025432635	0,072341671	0,582022298	0,880692632	Btbd7
ENSMUSG00000067199	717,9564799	-0,022429731	0,081937172	0,581852541	0,880692632	Frat1
ENSMUSG00000071253	1437,065402	-0,023534295	0,080003891	0,582019063	0,880692632	Slc25a16
ENSMUSG00000097277	264,1804935	0,013946724	0,089589703	0,582121381	0,880692632	WI1-1616M8.2
ENSMUSG00000038902	1832,624675	-0,035626311	0,077768196	0,582211972	0,880749664	Pogz
ENSMUSG00000029669	312,3058526	0,019492371	0,085984575	0,582273954	0,88076341	Tspan12
ENSMUSG00000025262	2475,186335	-0,02569935	0,069328747	0,582810996	0,880822836	Fam120c
ENSMUSG00000033174	2617,457699	-0,018355724	0,086846498	0,582773352	0,880822836	Mgll
ENSMUSG00000036644	4910,738229	0,02507304	0,070437998	0,582792312	0,880822836	Tbc1d9b
ENSMUSG00000039684	19,72557776	-0,007526525	0,09130187	0,582679506	0,880822836	RP24-86H7.2
ENSMUSG00000039754	300,535524	0,017955111	0,087284585	0,582472209	0,880822836	Alkbh4
ENSMUSG00000040759	189,5799354	0,011179764	0,090534205	0,582550359	0,880822836	Cmtm5
ENSMUSG00000041596	16,39913506	-0,005227452	0,091629935	0,582842232	0,880822836	Nlrp5-ps
ENSMUSG00000042831	1292,75543	0,023389555	0,080382809	0,582552547	0,880822836	Alkbh6
ENSMUSG00000045100	427,7176002	-0,019349762	0,085920133	0,582840125	0,880822836	Slc25a26
ENSMUSG00000104399	44,31121998	-0,011570232	0,090361313	0,582482389	0,880822836	RP23-448A11.16
ENSMUSG00000040658	168,8594521	-0,019194344	0,086076062	0,582981219	0,880952925	Dnph1
ENSMUSG00000094786	90,04791745	0,010939392	0,090573808	0,583055449	0,880985144	RP24-63F2.1
ENSMUSG00000014551	1257,941426	-0,019146589	0,085966905	0,583168005	0,881075261	Mrps25
ENSMUSG00000007036	2479,890967	-0,024373302	0,076868274	0,583873779	0,881515293	Abhd16a
ENSMUSG00000015804	1845,437771	0,025454033	0,072195345	0,583792535	0,881515293	Med28
ENSMUSG00000020546	653,7646302	0,02357864	0,079866582	0,583996528	0,881515293	Stxbp4
ENSMUSG00000026172	768,137449	-0,02536161	0,071714577	0,584244879	0,881515293	Bcs1l
ENSMUSG00000027854	2887,231385	-0,032844497	0,08110876	0,584012793	0,881515293	Sike1
ENSMUSG00000028653	518,985837	0,021975837	0,082733586	0,584295557	0,881515293	Trit1
ENSMUSG00000029376	177,2341331	0,021252639	0,083836915	0,584358235	0,881515293	Mthfd2l
ENSMUSG00000029703	473,9896536	0,024871579	0,075638483	0,584217723	0,881515293	Lrwd1
ENSMUSG00000031112	48,4103995	0,009303888	0,090975637	0,584441973	0,881515293	Stk26
ENSMUSG00000038697	760,2957865	0,022466203	0,082030036	0,583707841	0,881515293	Taf5l
ENSMUSG00000039166	457,8415544	0,019924928	0,085748676	0,584607405	0,881515293	Akap7
ENSMUSG00000042447	1151,262847	-0,022418356	0,072993116	0,583639784	0,881515293	Mios
ENSMUSG00000045665	1269,75834	0,023559475	0,079421675	0,584427889	0,881515293	Mfsd5
ENSMUSG00000049577	327,2799636	-0,019282925	0,085882117	0,584585344	0,881515293	Zfpm1
ENSMUSG00000054594	51,3192588	-0,014393552	0,089253204	0,583691746	0,881515293	Oscar
ENSMUSG00000074219	15,51742993	0,008269883	0,091164514	0,58418511	0,881515293	Gm10644
ENSMUSG00000074912	11,09275283	0,006243505	0,091511754	0,584382144	0,881515293	RP23-46P4.7
ENSMUSG00000075271	188,5449461	0,021361055	0,083295154	0,584477	0,881515293	Ttc30a1
ENSMUSG00000085642	325,4458152	-0,019393952	0,085833297	0,583996226	0,881515293	RP23-33N12.1
ENSMUSG00000097785	235,1080177	-0,021816825	0,082924488	0,583838049	0,881515293	B230217O12Rik
ENSMUSG00000097868	58,37652629	-0,014757663	0,089010534	0,58467689	0,881515293	A330069E16Rik
ENSMUSG00000097869	175,8118321	-0,01629946	0,088219899	0,583783755	0,881515293	C230021G24Rik
ENSMUSG00000112941	747,012853	-0,016611021	0,088010717	0,584641538	0,881515293	CH25-660D15.2
ENSMUSG00000059776	15,47395785	0,008276958	0,091175804	0,584730377	0,881516117	Rpl13-ps6
ENSMUSG00000105482	18,39946749	-0,008864214	0,091040848	0,584835372	0,881594584	RP23-231C16.1
ENSMUSG00000005505	1497,588979	0,025558603	0,069573543	0,585281646	0,881628793	Kbtbd4
ENSMUSG00000019763	501,6239922	-0,020855996	0,08408061	0,585215949	0,881628793	Rmnd1
ENSMUSG00000020843	1315,069939	0,025170511	0,072721841	0,585269141	0,881628793	Timm22
ENSMUSG00000020964	7787,213305	0,020173134	0,08522189	0,584912179	0,881628793	Sel1l
ENSMUSG00000026260	4976,028558	-0,025989064	0,067593705	0,58526181	0,881628793	Ndufa10
ENSMUSG00000038065	24396,69202	-0,023053152	0,082827337	0,585270227	0,881628793	Mturn
ENSMUSG00000057816	22,92822452	-0,009155781	0,090961484	0,585134664	0,881628793	RP24-472I15.1
ENSMUSG00000097924	188,0906323	-0,020590618	0,084480128	0,585164322	0,881628793	RP23-445E16.1
ENSMUSG00000031392	581,6441398	0,022752668	0,084452169	0,585583762	0,881685072	Irak1
ENSMUSG00000036298	2469,667574	0,024135776	0,081340913	0,585557294	0,881685072	Slc2a13
ENSMUSG00000036934	907,2696891	-0,022045655	0,082405288	0,585484029	0,881685072	RP23-211B19.2
ENSMUSG00000051695	4343,606312	0,020743211	0,084822019	0,585462192	0,881685072	Pcbp1
ENSMUSG00000102632	14,17776355	-0,00815009	0,091177319	0,58556104	0,881685072	RP24-366E11.2
ENSMUSG00000042857	218,215067	-0,01697604	0,087718147	0,585642064	0,881693129	RP23-464E7.4
ENSMUSG00000036218	107,9930167	-0,012746945	0,089809886	0,585707367	0,881709621	Pdzrn4
ENSMUSG00000085862	17,33971238	-0,009531705	0,090871793	0,585758923	0,881709621	RP23-360N18.1
ENSMUSG00000094595	36,46542603	-0,012889104	0,089828605	0,585921015	0,881873887	Fsbp
ENSMUSG00000112880	20,64478648	0,008053068	0,091212575	0,585997174	0,881908798	RP23-168F21.4
ENSMUSG00000022111	1462,070336	-0,021734334	0,08318687	0,58615182	0,882061812	Uchl3
ENSMUSG00000028199	604,0421327	-0,015977907	0,088317948	0,586252085	0,88210854	Cryz
ENSMUSG00000039001	3523,465066	0,024797744	0,073984794	0,586288824	0,88210854	Rps21
ENSMUSG00000027881	1587,337708	0,016374515	0,088199209	0,586376248	0,882113293	Prpf38b
ENSMUSG00000074129	662,004269	-0,022949946	0,080973963	0,586397936	0,882113293	Rpl13a
ENSMUSG00000006273	31732,11569	0,024904373	0,074615985	0,586887431	0,882129361	Atp6v1b2
ENSMUSG00000007415	1839,531501	-0,024870995	0,074545092	0,587972795	0,882129361	Gatad1
ENSMUSG00000009734	55,16150776	0,009143551	0,090976747	0,588368788	0,882129361	Pou6f2
ENSMUSG00000012405	8721,625657	-0,025898853	0,068622413	0,587729355	0,882129361	Rpl15
ENSMUSG00000018372	278,8071794	-0,022339559	0,081129472	0,588326982	0,882129361	Cep95
ENSMUSG00000019647	3240,502106	-0,022969229	0,079466108	0,588311933	0,882129361	Sema6a
ENSMUSG00000020635	2301,37327	-0,020657681	0,084674292	0,586830929	0,882129361	Fkbp1b
